no,username,display_name,text,date,likes,reply_to,is_reply
61,kekkera_tokuedit,𝐒𝐂𝟗—kekkera,kak ngomong pake bahasa indo dong mbak ka mbak dari indo soalnya gua gak bisa bahasa Inggris,2023-04-09T07:40:09.000Z,0,,False
62,zee_ac,Zee,emeshhhh🥺,2023-02-06T10:38:18.000Z,0,,False
63,xxshprrr,r,mau jg ya allah,2023-02-05T20:50:00.000Z,1,,False
64,rindayupallar03,KANJENG MAMIHh,Gua heran sama orang yg komen negatif di vt sblah ttg gita padahal gua jg stuju chillfree dripada blum siap mntal n finansial tpi maksa punya anak,2023-02-06T19:45:48.000Z,178,,False
65,____aaaa1994,qns,soalnya paul udah jadi anaknya gitasav,2023-02-05T18:55:16.000Z,284,,False
66,itzzme.gita0,gt,pasti seneng bgt nemu seseorang yang ga patriarki,2023-02-05T19:23:22.000Z,92,,False
67,lalal0vie,⋆. 𐙚`Lovie,"emg kenapa si pada sewot, kan pilihan dia juga[cry]",2023-02-23T15:33:22.000Z,0,,False
68,rjtb4,rjtb,"ini yang "" Rentang kisah "" kan ? cerita hidupnya diangkat jadi film?",2023-02-21T13:39:59.000Z,0,,False
69,rezaulfuadi,Reza Ulfu | Introvert's Hack,"Gua juga setuju. Mau kawin atau ngga, mau punya anak atau ngga itu terserah. Yang penting utamakan AKHLAK. Ngga menyalah-nyalahkan pilihan orang.",2023-03-26T19:14:45.000Z,1,rindayupallar03,True
70,rindayupallar03,KANJENG MAMIHh,Gua tipe denger suara anak kecil nangis triak2 aja pusing makanya gua takut punya anak karna mental gua ga memungkinkan untuk punya anak,2023-02-06T19:49:59.000Z,45,rindayupallar03,True
71,rindayupallar03,KANJENG MAMIHh,Ujung ujungnya tekanan mental depresi karna faktor ekonomi dan tekanan batin anaknya di siksa dan di tlantarin.,2023-02-06T19:47:26.000Z,47,rindayupallar03,True
